Rainfall,Evaporation,Inflow
0.2444444444,10.46,205.98
0.06666666667,10.45,258.97
0.06666666667,10.43,152.96
0,10.41,153.94
0,10.4,153.92
1.355555556,13.38,154.91
4.888888889,13.37,176.92
7.2,13.36,175.91
8.366666667,13.35,175.9
3.2,13.34,176.89
0.5444444444,13.33,175.88
3.111111111,13.32,175.87
17.21111111,13.31,176.86
23.54444444,13.3,175.85
24.2,13.3,227.84
3.933333333,13.29,227.84
0.4666666667,13.27,176.83
0.9666666667,13.26,176.81
0,13.25,177.8
2.277777778,13.24,176.79
5.511111111,13.23,125.78
4.9,13.21,176.77
5.9,13.2,125.75
2.844444444,13.18,125.74
0.5888888889,13.16,125.72
0.9222222222,13.14,125.7
10.34444444,13.13,128.68
12.32222222,13.11,125.67
6.922222222,13.09,101.65
11.56666667,13.07,101.63
8.322222222,13.06,101.61
0,13.04,101.6
0,13.02,101.58
0,13,102.56
0,12.98,103.54
0,12.96,103.52
0,13.38,103.5
0,13.36,102.92
0,13.34,78.9
0,13.31,78.88
0,13.29,79.85
0,13.26,80.83
0,13.24,80.8
0,13.22,80.78
0,13.2,79.76
0,13.18,80.74
0,13.17,66.06
0,13.17,25.75
0,13.16,25.75
0,13.16,26.74
1.666666667,13.16,25.74
0,13.16,15.72
0.9,13.16,42.91
2.4,13.16,66.91
0.1,13.17,17.91
0,13.17,42.92
0,13.17,17.92
0,13.17,14.92
2.088888889,13.17,17.92
0.05555555556,13.17,41.92
0,13.17,17.92
0,13.17,42.92
0,13.18,17.92
7.688888889,13.18,42.93
9.088888889,13.18,17.93
1.111111111,13.18,41.93
0,12.76,17.93
0,12.76,42.51
0,12.76,17.51
0,12.76,42.51
0,12.76,17.51
0,12.76,42.51
0,12.76,17.51
0,12.76,42.51
0,12.77,17.51
0,12.77,42.51
0,12.77,17.51
0,12.77,42.51
0,12.77,17.51
0,12.77,42.51
0,12.77,17.51
0,12.78,41.51
0,12.78,17.51
0,12.78,42.51
0,12.78,17.51
0,12.78,42.51
0,12.78,17.51
0,12.78,42.51
0,12.78,17.51
0,12.78,42.51
0,12.8,17.51
0,12.8,42.51
0,12.8,17.51
0,12.8,24.01
0,12.8,50.37
0,12.79,50.37
0,12.79,25.37
0,12.79,50.37
0,12.79,25.37
0,12.79,25.37
0,12.78,50.37
0,12.78,24.37
0,12.77,32.47
0,12.75,20.47
0,12.74,13.65
0,12.72,23.28
0,12.7,23.26
0,12.69,23.24
0,12.68,23.23
0,12.66,23.22
0,12.65,23.2
0,12.63,11.06
0,12.61,23.17
0,12.58,9.11
0,12.55,10.12
0,12.5,10.09
0,12.49,11.09
0,12.46,13.09
0,12.43,12.99
0,12.4,12.99
0,12.36,10.59
0,12.32,5.97
0,12.28,5.83
0,12.24,12.51
0,12.2,5.83
0,12.16,9.71
0,12.13,16.39
0,12.09,14.43
0,13.39,17.4
0,13.35,4.34
0,13.31,3.3
0,13.27,5.26
0,13.22,7.22
0,13.18,7.17
0,13.14,8.13
0,13.09,10.09
0,13.05,11.04
0,13.01,11.4
0,12.96,14.36
0,12.92,14.81
0,12.88,6.8
0,12.84,8.42
0,12.8,10.88
0,12.76,11.34
0,12.72,11.3
0,12.65,8.66
0,12.58,10.19
0,12.5,10.13
0,12.44,15.05
0,12.39,9.14
0,12.34,4.77
0,12.27,7.72
0,12.17,4.94
0,12.01,7.31
0,11.98,11.22
0,11.89,4.76
0,13.3,2.95
0,13.22,5.08
0,13.15,6
0,13.07,10.92
0,12.99,10.82
0,12.89,9.19
0,12.88,12.3
0,12.68,0.9
0,12.6,7.93
0,12.54,6.14
14.57777778,12.49,6.08
29.34444444,12.43,6.03
11.88888889,12.38,10.97
6.944444444,12.3,9.92
5.033333333,12.18,11.45
3,12.11,10.37
8.077777778,12.05,5.29
6.977777778,12,7.23
0.3333333333,11.94,7.18
2.022222222,11.88,8.12
4.611111111,11.82,3.42
3.333333333,11.77,2.36
9.166666667,11.71,3.31
6.555555556,11.65,6.25
4.355555556,11.59,7.19
0.8888888889,11.54,7.13
4.066666667,11.48,10.08
3.822222222,11.42,2.66
1.011111111,11.35,1.6
0.3333333333,11.29,5.53
0,11.23,6.47
0,16.19,5.41
1.111111111,16.1,5.73
0,16.02,7.64
0,15.93,6.56
0,15.85,2.11
0,15.77,2.03
0,15.69,2.95
2.333333333,15.61,5.87
0,15.54,6.79
0,15.46,6.72
0,15.38,2
1.911111111,15.3,0.92
4.4,15.22,2.84
0.02222222222,15.14,1.72
0,15.05,1.64
0,14.98,4.55
0,14.9,2.16
0,14.8,5.8
0.5555555556,14.69,1.43
2.188888889,14.57,1.47
0.4444444444,14.47,5.19
4.388888889,14.37,6.1
3.811111111,14.27,2.11
0,14.17,2.01
0,14.08,1.59
3.344444444,13.99,2.5
5.133333333,13.89,5.41
6.155555556,13.79,7.31
9.711111111,13.69,7.21
0.7555555556,13.59,2.43
1.466666667,11.17,1.33
0,11.08,4.91
2.377777778,10.99,4.82
0.2666666667,10.91,4.41
3.933333333,10.83,5.33
5.533333333,10.75,1.52
0.3333333333,10.67,3.61
2.4,10.51,4.53
5.488888889,10.51,4.09
1.044444444,10.43,3.01
0,10.35,3.61
0,10.26,3.53
0,10.18,3.08
0,10.09,5
0,10.01,1.59
2.233333333,9.92,1.19
12.64444444,9.84,2.1
7.822222222,9.76,1.7
2.666666667,9.68,1.96
22.75555556,9.6,3.99
14.54444444,9.53,2.99
15.6,9.46,3.95
0,9.4,2.88
0,9.35,3.03
0.03333333333,9.29,2.98
0.4444444444,9.24,1.6
0.3666666667,9.19,1.55
4.233333333,9.14,1.5
8.255555556,9.08,2.45
0,9.07,3.11
0.6666666667,9.07,2.58
12.73333333,4.69,13.82
10.2,4.69,20.44
0.1111111111,4.69,9.44
1.233333333,4.69,21.44
5.888888889,4.69,9.44
19.25555556,4.69,21.44
27.43333333,4.71,44.44
7.722222222,4.74,221.46
4.688888889,4.76,105.49
2.911111111,4.76,57.51
0,4.77,56.51
0.6666666667,4.78,57.52
2.2,4.78,57.53
2.266666667,4.78,9.53
4.477777778,4.78,9.53
6.677777778,4.79,9.53
6.155555556,4.8,33.54
6.766666667,4.8,80.55
7.066666667,4.81,33.55
3.311111111,4.81,33.56
1.9,4.81,9.56
8.077777778,4.81,9.56
2.055555556,4.81,9.56
3.655555556,4.81,9.56
5.322222222,4.81,9.56
6.122222222,4.82,57.56
3.522222222,4.83,58.57
3.277777778,4.83,57.58
1.733333333,4.83,9.58
3.233333333,4.83,9.58
7.1,4.68,9.58
19.98888889,4.71,107.43
48.56666667,4.81,253.46
63.84444444,5,1107.56
62.53333333,5.2,1408.75
70.53333333,5.45,1304.93
30.27777778,5.68,2327.19
39.23333333,5.83,1130.45
37.11111111,6.01,1219.54
48.3,6.18,1629.71
27.71111111,6.31,1293.93
28.06666667,6.48,994.06
26.07777778,6.56,1077.23
62.02222222,6.8,1168.31
124.7111111,7.25,2692.55
154.5111111,7.8,4549.92
92.83333333,8.26,5117.95
67.35555556,8.61,3311.61
42.86666667,8.87,3711.96
41.98888889,9.02,1984.22
13.97777778,9.12,1544.37
14.46666667,9.21,1300.07
10.43333333,9.29,1185.96
2.444444444,9.34,1002.04
0.9777777778,9.37,726.05
1.755555556,9.39,561
4.977777778,9.41,471.93
10.55555556,9.43,470.95
22.83333333,9.49,666.97
33.08888889,9.57,1359.03
8.066666667,9.63,1070.11
17.9,9.69,974.17
10.66666667,9.73,981.23
2.477777778,9.76,678.27
7.044444444,9.78,580.3
6.311111111,9.81,581.32
2.855555556,9.84,683.35
2.611111111,9.85,479.38
5.044444444,9.86,429.39
7.233333333,9.88,430.4
3.433333333,9.89,482.42
9.577777778,9.9,378.43
4.233333333,9.9,379.44
0.9555555556,9.9,327.45
1.011111111,9.9,276.45
1.977777778,9.9,276.45
2.922222222,9.9,251.45
20.83333333,9.9,301.45
13.05555556,9.92,379.44
3.855555556,9.93,370.82
6.9,9.94,311.24
8.211111111,9.96,311.25
13.46666667,9.98,519.27
8.166666667,9.99,355.49
12.33333333,10.02,356.5
34.11111111,10.06,666.53
18.68888889,10.1,1060.39
5.466666667,10.11,772.68
4.555555556,10.12,527.32
4.911111111,10.13,467.63
4.266666667,10.14,499.02
7.644444444,10.14,480.45
7.666666667,10.5,427.45
